,artist,song,link,text
10,ABBA,Dance,/a/abba/dance_10001507.html,"oh my love it makes me sad  
why did things turn out so bad  
was it just a dream everything we did everything we had  
  
baby give me one more  
dance while the music still goes on  
dont think about tomorrow  
dance and forget our time is gone  
tonights a night we borrow  
lets make it a memory a night of our own  
a thing to remember when were all alone  
so dance its our way to say goodbye  
  
yes all we have to do is  
dance while the music still goes on  
this is no time for crying  
dance dont you hear them play our song  
god knows that weve been trying  
but we didnt make it cause nothings the same  
we just couldnt help it nobodys to blame  
so dance while the music still goes on  
and let it be our last goodbye  
  
yet it seems to make me sad  
why did things turn out so bad  
was is just a dream everything we did everything we had  
  
baby give me one last  
dance while the music still goes on  
just like the night i met you  
dance and believe me when youre gone  
you know i wont forget you  
our love was a snowbird its flying away  
you tell me its over what more can i say  
so dance while the music still goes on  
its gonna be our last goodbye  
  
dance while the music still goes on  
dont think about tomorrow  
dance and forget our time is gone  
tonights a night we borrow  
lets make it a memory a night of our own  
a thing to remember when were all alone  
so dance while the music still goes on  
and let it be our last goodbye  
  
dance while the music still goes on  
this is no time for crying  
dance dont you hear them play our song  
god knows that weve been trying  
dance while the music still goes on  
just like the night i met you  
dance and believe me when youre gone  
you know i wont forget you  
  
fade

"
11,ABBA,Dancing Queen,/a/abba/dancing+queen_20002554.html,"you can dance you can jive having the time of your life  
see that girl watch that scene diggin the dancing queen  
  
friday night and the lights are low  
looking out for the place to go  
where they play the right music getting in the swing  
you come in to look for a king  
anybody could be that guy  
night is young and the musics high  
with a bit of rock music everything is fine  
youre in the mood for a dance  
and when you get the chance  
  
you are the dancing queen young and sweet only seventeen  
dancing queen feel the beat from the tambourine  
you can dance you can jive having the time of your life  
see that girl watch that scene diggin the dancing queen  
  
youre a teaser you turn em on  
leave them burning and then youre gone  
looking out for another anyone will do  
youre in the mood for a dance  
and when you get the chance  
  
you are the dancing queen young and sweet only seventeen  
dancing queen feel the beat from the tambourine  
you can dance you can jive having the time of your life  
see that girl watch that scene diggin the dancing queen

"
12,ABBA,Disillusion,/a/abba/disillusion_20002786.html,"changing moving in a circle  
i can see your face in all of my dreams  
smiling laughing from the shadows  
when i hear your voice i know what it means  
i know it doesnt matter just how hard i try  
youre all the reason for my life  
  
disillusion disillusions all you left for me  
how can i forget you when my world is breaking down  
youre all i had youre all i want  
disillusion disillusions now thats all i have  
  
wishing hoping chasing shadows  
did i see your face somewhere in the crowd  
thinking wondering what youre doing  
i cant stop myself from crying out loud  
they say my wound will heal and only leave a scar  
but then they never shared our love  
  
disillusion disillusions all you left for me  
how can i forget you when my world is breaking down  
youre all i had youre all i want  
disillusion disillusions now thats all i have  
  
disillusion disillusions now thats all i have

"
13,ABBA,Does Your Mother Know,/a/abba/does+your+mother+know_20003035.html,"youre so hot teasing me  
so youre blue but i cant take a chance on a chick like you  
thats something i couldnt do  
theres that look in your eyes  
i can read in your face that your feelings are driving you wild  
ah but girl youre only a child  
  
well i can dance with you honey  
if you think its funny  
does your mother know that youre out  
and i can chat with you baby  
flirt a little maybe  
does your mother know that youre out  
  
take it easy take it easy  
better slow down girl  
thats no way to go  
does your mother know  
  
take it easy take it easy  
try to cool it girl  
take it nice and slow  
does your mother know  
  
i can see what you want  
but you seem pretty young to be searching for that kind of fun  
so maybe im not the one  
now youre so cute i like your style  
and i know what you mean when you give me a flash of that smile smile  
but girl youre only a child  
  
well i can dance with you honey  
if you think its funny  
does your mother know that youre out  
and i can chat with you baby  
flirt a little maybe  
does your mother know that youre out  
  
take it easy take it easy  
better slow down girl  
thats no way to go  
does your mother know  
  
take it easy take it easy  
try to cool it girl  
take it nice and slow  
does your mother know  
  
well i can dance with you honey  
if you think its funny  
does your mother know that youre out  
and i can chat with you baby  
  
flirt a little maybe  
does your mother know that youre out

"
14,ABBA,Dream World,/a/abba/dream+world_20003014.html,"agnetha were not the stars of a hollywood movie  
so whats the use to pretend  
im not so charming and youre not so groovy  
youve got to face it my friend  
  
agnetha frida dreamworld youve been living in a dreamworld  
trust me you just cant escape from reality  
boy meets girl doesnt mean theyre in a dreamworld  
here i am here you are  
  
were gonna make it together  
and within its a fuss  
so we can only get better  
agnetha when you reach up and you say to me  
  
how i love you girl  
when i hold you baby cant you see  
thats the way we whirl  
you had your hopes and your high expectations  
  
somehow it doesnt seem right  
im getting fedup with your acquisitions  
im not your angel in white  
agnetha frida dreamworld youve been living in a dreamworld  
  
trust me you just cant escape from reality  
boy meets girl doesnt mean theyre in a dreamworld  
here i am here you are  
were gonna make it together  
  
and within its a fuss  
so we can only get better  
agnetha when you reach up and you say to me  
how i love you girl  
  
when i hold you baby cant you see  
thats the way we whirl  
agnetha frida dreamworld youve been living in a dreamworld  
trust me you just cant escape from reality  
  
boy meets girl doesnt mean theyre in a dreamworld  
here i am here you are  
were gonna make it together  
and within its a fuss  
  
so we can only get better

"
15,ABBA,Dum Dum Diddle,/a/abba/dum+dum+diddle_20002555.html,"i can hear how you work practising hard  
playing night and day wooh  
and it sounds better now yes you improve  
everytime you play wooh  
but its bad  
youre so sad  
and youre only smiling  
when you play your violin  
  
dumb dumb diddle to be your fiddle  
to be so near you and not just hear you  
dumb dumb diddle to be your fiddle  
i think then maybe youd see me baby  
youd be mine  
and wed be together all the time  
wish i was dumb dumb diddle your darling fiddle  
  
but i think you dont know that i exist  
im the quiet kind wooh  
from the day when i first listened to you  
youve been on my mind wooh  
you dont care  
its not fair  
and youre only smiling  
when you play your violin  
  
dumb dumb diddle to be your fiddle  
to be so near you and not just hear you  
dumb dumb diddle to be your fiddle  
i think then maybe youd see me baby  
youd be mine  
and wed be together all the time  
  
dumb dumb diddle to be your fiddle  
to be so near you and not just hear you  
dumb dumb diddle to be your fiddle  
i think then maybe youd see me baby  
youd be mine  
and wed be together all the time  
wish i was dumb dumb diddle your darling find

"
16,ABBA,Eagle,/a/abba/eagle_20002818.html,"they came flying from far away now im under their spell  
i love hearing the stories that they tell  
theyve seen places beyond my land and theyve found new horizons  
they speak strangely but i understand  
  
and i dream im an eagle  
and i dream i can spread my wings  
flying high high im a bird in the sky  
im an eagle that rides on the breeze  
high high what a feeling to fly  
over mountains and forests and seas  
and to go anywhere that i please  
  
as all good friends we talk all night and we fly wing to wing  
i have questions and they know everything  
theres no limit to what i feel we climb higher and higher  
am i dreaming or is it all real  
  
is it true im an eagle  
is it true i can spread my wings  
flying high high im a bird in the sky im an eagle  
im an eagle that rides on the breeze  
high high what a feeling to fly what a feeling  
over mountains and forests and seas  
and to go anywhere that i please

"
17,ABBA,Every Good Man,/a/abba/every+good+man_20336091.html,"every good man needs a helping hand  
so i travel alone if i can  
every man has a guiding star  
and he knows what hes gonna get  
when hes going too far  
  
living on the dark side once again  
its sad to lose a friend  
looking at things with empty feelings  
still were going on  
  
for every good man needs a helping hand  
i should have known too  
some of us learn too late im sorry  
every good man needs a helping hand  
its true  
  
every good man needs a helping hand  
so i travel alone if i can  
every man has a guiding star  
and he knows  
what hes gonna get  
when hes going too far  
  
living on the dark side once again  
its sad to lose a friend  
looking at things with empty feelings  
still were going on  
  
for every good man needs a helping hand  
i should have known too  
some of us learn too late im sorry  
every good man needs a helping hand  
its true

"
18,ABBA,Fernando,/a/abba/fernando_20002896.html,"can you hear the drums fernando  
i remember long ago another starry night like this  
in the firelight fernando  
you were humming to yourself and softly strumming your guitar  
i could hear the distant drums  
and sounds of bugle calls were coming from afar  
  
they were closer now fernando  
every hour every minute seemed to last eternally  
i was so afraid fernando  
we were young and full of life and none of us prepared to die  
and im not ashamed to say  
the roar of guns and cannons almost made me cry  
  
there was something in the air that night  
the stars were bright fernando  
they were shining there for you and me  
for liberty fernando  
though i never thought that we could lose  
theres no regret  
if i had to do the same again  
i would my friend fernando  
if i had to do the same again  
i would my friend fernando  
  
now were old and grey fernando  
and since many years i havent seen a rifle in your hand  
can you hear the drums fernando  
do you still recall the frightful night we crossed the rio grande  
i can see it in your eyes  
how proud you were to fight for freedom in this land  
  
repeat x2  
there was something in the air that night  
the stars were bright fernando  
they were shining there for you and me  
for liberty fernando  
though i never thought that we could lose  
theres no regret  
if i had to do the same again  
i would my friend fernando  
  
yes if i had to do the same again  
i would my friend fernando

"
19,ABBA,Fernando (In Spanish),/a/abba/fernando+in+spanish_20930420.html,"puedes escuchar fernando  
me recuerda tiempo atras  
estrellas y una noche alla  
en la lumbre azul fernando  
tarareabas tu cancion  
con ese suave guitarrear  
yo podia escuchar  
esos tambores con un sordo redoblar  
  
se acercaban mas fernando  
y el momento que pasaba  
parecia eternidad  
y senti temor fernando  
por la vida y juventud  
nadie pensaba en morir  
y no siento hoy verguenza al  
confesar que tuve  
ganas de llorar  
  
algo habia alrededor quiza  
de claridad fernando  
que brillaba por nosotros dos  
en proteccion fernando  
no pensabamos jamas perder  
ni echar atras  
si tuviera que volverlo a hacer  
lo haria ya fernando  
si tuviera que volverlo a hacer  
lo haria ya fernando  
  
la vejez llego fernando  
y con ella una paz  
que hoy logramos disfrutar  
se durmio el tambor fernando  
paraciera que fue ayer  
que lo vivimos tu y yo  
y en tus ojos veo aun  
aquel orgullo que refleja tu valor  
  
algo habia alrededor quiza  
de claridad fernando  
que brillaba por nosotros dos  
en proteccion fernando  
no pensabamos jamas perder  
ni echar atras  
si tuviera que volverlo a hacer  
lo haria ya fernando  
si tuviera que volverlo a hacer  
lo haria ya fernando  
  
algo habia alrededor quiza  
de claridad fernando  
que brillaba por nosotros dos  
en proteccion fernando  
no pensabamos jamas perder  
ni echar atras  
si tuviera que volverlo a hacer  
lo haria ya fernando  
si tuviera que volverlo a hacer  
lo haria ya fernando  
  
si tuviera que volverlo a hacer  
lo haria ya fernando  
  
repeata y fade

"
